土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
两江新区龙兴组团V标准分区V3-2/01号宗地,二类工业用地,87118,≥0.7,2205,庆金世利钛业有限公司,2017年5月26日,2205,挂牌
两江新区龙兴组团B分区B6-1/01（部分二）号宗地,二类工业用地,51557.9,≥0.7,1934,重庆双英汽车座椅有限公司,2017年5月26日,1934,挂牌
九龙坡区西彭组团A分区A92/01号宗地,一类物流仓储用地兼容二类物流仓储用地,17119,≤1.5,1053,重庆天朋鑫沥青搅拌有限公司,2017年5月26日,1053,挂牌
巴南区木洞组团C分区C34-1/01号宗地,二类居住用地、商业用地、交通场站用地,40290,≤100725,6935,重庆麻柳沿江开发投资有限公司,2017年5月27日,7000,拍卖
大渡口区大渡口组团P分区P2-14号宗地,二类居住用地、商业用地,75734,≤180692,41560,深圳市中洲投资控股股份有限公司,2017年5月27日,70500,拍卖
九龙坡区西永组团Ad分区Ad08-1/01号宗地,一类工业用地,52623,≥0.7,3942,中国兵器工业第五九研究所,2017年5月5日,3942,挂牌
大渡口区大渡口组团N分区N11-2-1（部分）号宗地,一类工业用地,4909,≥0.8,442,重庆升光电力印务有限公司,2017年5月5日,442,挂牌
渝北区唐家沱组团C标准分区C3-11-1/02号宗地,一类工业用地,74663,≥1.0,5003,重庆市中光电显示技术有限公司,2017年5月5日,5003,挂牌
大渡口区中梁山组团L分区L20-01(部分)、L18-02-3、L18-02-1、L22地块、大渡口组团L分区L19地块,二类居住用地,152137,≤356602.5,82019,西安金地置业投资有限公司,2017年5月8日,185500,拍卖
北碚区北碚组团I分区I04-01/04、I06-01/04号宗地,二类居住用地,115919,≤231838,57960,华润置地（常州）有限公司,2017年5月5日,71500,拍卖
大渡口区大渡口组团E分区E46-2/04号宗地,文化设施用地,10535,≤45000,13580,重庆市大渡口新城建设有限责任公司,2017年4月20日,13580,挂牌
两江新区龙兴组团H分区H32-1/01、H32-3/01、H33-2/01、H33-4/01、H39-2/01、H40-1/01、H41-2/01、H45-1/01、H45-4/01号宗地,二类居住用地、商业用地、商务用地,188505.5,≤209865.82,43890,重庆中讯物业发展有限公司,2017年4月21日,71800,拍卖
南岸区茶园组团M分区M16-2/03号宗地,物流仓储用地,68968,≤1.5,4573,重庆南普仓储有限公司,2017年4月17日,4573,挂牌
两江新区鱼嘴组团B标准分区B12-1/01（部分一）号宗地,二类工业用地,66631,≥0.7,1693,重庆中瑞荣机械有限公司,2017年4月17日,1693,挂牌
沙坪坝区西永组团A标准分区A40-2-01/02号宗地,二类工业用地,46688,≤2.0,2241,重庆龙润科技有限公司、重庆十七冶共享建设工程有限公,2017年4月17日,2241,挂牌
两江新区鱼嘴组团C分区C7-1-1/01（部分一）号宗地,二类工业用地,108818,≥0.7,2743,重庆长安汽车股份有限公司,2017年3月28日,2743,挂牌
两江新区龙兴组团A分区A5-1/01号宗地,二类工业用地,31672,≥0.7,871,重庆财鑫工贸有限责任公司,2017年3月28日,871,挂牌
两江新区两路组团C分区C66-2/02、 C67-4/03、C71-1/02、C72-1/02、C72-2/02、C72-3/02、C72-5/02、C85-1/03、C85-4/03、C85-7/03号宗地,二类居住用地,203112,≤362486,181243,四川雅居乐房地产开发有限公司,2017年3月30日,339000,拍卖
两江新区龙兴组团C标准分区C59-1/02、C60-1/02号宗地,B29-其它商务用地（生产性服务业用地）,137630,≤247734,18236,重庆两江新区产业发展集团有限公司,2017年3月28日,18236,挂牌
两江新区龙兴组团C标准分区C64 -1/02号宗地,商业用地、商务用地,103271,≤185888,27060,重庆两江新区产业发展集团有限公司,2017年3月28日,27060,挂牌
北碚区蔡家组团M分区M07-1/02、M08/04号宗地,二类居住用地,111295,≤278238,63995,重庆金科汇茂房地产开发有限公司,2017年3月30日,103000,拍卖
北碚区蔡家组团M分区M01-04/04号宗地,二类居住用地,136123,≤340308,78271,重庆金科汇茂房地产开发有限公司,2017年3月30日,120500,拍卖
渝北区两路组团Ga分区Ga21-1/02号宗地,一类工业用地,22261,≥0.7,1514,重庆再升科技股份有限公司,2017年3月21日,1514,挂牌
九龙坡区西彭组团J分区J39-1/01号宗地,二类工业用地,46465,≥0.7,2882,重庆市东兆长盛新型建材有限责任公司,2017年3月21日,2882,挂牌
