土地位置,用途,土地面积(平方米),建筑规模(平方米)/容积率,起始价(万元),竞得单位,竞得时间,成交价(万元),出让方式
江北区观音桥组团M分区M16-3/02号宗地,二类居住用地,40621,≤142174,61389,保利（重庆）投资实业有限公司,2016年8月12日,97000,拍卖
两江新区龙兴组团F分区F8-1/02号宗地,A33-中学用地,145969,按规划要求,8178,重庆两江新区新南教育信息咨询服务有限公司,2016年8月12日,8178,挂牌
北碚区北碚组团A标准分区A8-2-1-2/05号宗地,社会车充电站用地,3000,按规划要求,1170,重庆移峰能源有限公司,2016年8月4日,1170,挂牌
北碚区北碚组团D标准分区D21-1-1/03号宗地,B9-其它服务设施用地（城区殡仪项目建设用地）,9151,按规划要求,3400,重庆赟普礼仪服务有限公司,2016年8月4日,6500,拍卖
九龙坡区中梁山组团G分区G42-2-2/03号宗地,二类居住用地、防护绿地,20160,≤40322,6533,联发集团重庆房地产开发有限公司,2016年8月4日,6533,挂牌
两江新区水土组团E标准分区E32-5/01号宗地,加油站用地,3308,按规划要求,1514,重庆中油两江发展有限公司,2016年8月4日,1514,挂牌
两江新区大竹林组团G标准分区G17/05（部分）宗地,二类居住用地,59685,≤87737,42336,重庆龙湖创安地产发展有限公司,2016年8月4日,43000,拍卖
巴南区麻柳嘴镇组团分区A01-2/02号宗地,H2-区域交通设施用地,21574,按规划要求,3478,重庆富江能源科技有限公司,2016年7月12日,3478,挂牌
巴南区李家沱-鱼洞组团I分区I04-12/02、I04-13/01、I04-14/02号宗地,商业用地、二类居住用地,25411,≤95724,20205,重庆巴和城市建设投资有限公司,2016年7月12日,20205,挂牌
九龙坡区西永Q（部分）、S、T（部分）、U（部分）组团C分区C11-10-1/02号（部分2）宗地,一类工业用地,9095,≥0.7,683,重庆米高电梯有限公司,2016年7月12日,683,挂牌
巴南区木洞组团C分区C14-1-1/03、C15-1/03号宗地,一类工业用地、二类工业用地,154401,≥0.7,5561,重庆国舒制药有限公司,2016年7月12日,5561,挂牌
巴南区木洞组团C分区C18-1/03（部分）宗地,二类工业用地,111489,≥0.7,4061,重庆智翔金泰生物制药有限公司,2016年7月12日,4061,挂牌
巴南区木洞组团C分区C19-1/03（部分）、C21-1/03、C22-1/03号宗地,二类工业用地,153243,≥0.7,5213,重庆宸安生物制药有限公司,2016年7月12日,5213,挂牌
两江新区礼嘉组团F标准分区F05-8/05、F05-16/03号宗地,二类居住用地,147699,≤295398,87431,深圳市创泰投资管理有限公司、重庆龙湖地产发展有限公,2016年6月28日,120000,拍卖
两江新区礼嘉组团F标准分区F05-9/05号宗地,二类居住用地,124630,≤249260,72604,成都朗基地产有限公司,2016年6月28日,88000,拍卖
两江新区礼嘉组团F标准分区F06-1/05、F06-9/03、F06-12/04号宗地,二类居住用地,144870,≤289740,92647,深圳市创泰投资管理有限公司、重庆龙湖地产发展有限公,2016年6月28日,149000,拍卖
两江新区礼嘉组团F标准分区F03-10/05、F03-11-1/05号宗地,一类居住用地,156205,≤156207,69778,重庆金科房地产开发有限公司,2016年6月28日,119000,拍卖
两江新区龙兴组团B分区B13-13/02号宗地,二类工业用地,86830,≥1.0,2605,DMJ INDUSTRIAL HOLDING(HK) LIMITED,2016年6月28日,2605,挂牌
两江新区龙兴组团T分区T9-1/01号宗地,二类工业用地,998450,≥0.7,25161,重庆天骄航空动力有限公司,2016年6月28日,25161,挂牌
大渡口区大渡口组团N标准分区N08-3号宗地,一类工业用地,72205,≥1.0,7004,重庆海康威视科技有限公司,2016/6/28,7004,挂牌
大渡口区大渡口组团N分区N44(部分1)号宗地,一类工业用地,137093,≥0.7,15488,重庆勤牛工程机械有限责任公司,2016/6/28,15488,挂牌
九龙坡区大杨石组团H分区H10-1-3/06号宗地,二类居住用地兼容商业用地、商务用地,11878,≤47512,15964,重庆金辉长江房地产有限公司,2016年6月21日,26000,拍卖
巴南区木洞组团C分区C30-2/02号宗地,二类工业用地,17984,≥0.7,613,重庆惠森驰恒医疗器械有限公司,2016年7月12日,613,挂牌
巴南区李家沱组团G分区G1-8/02号宗地,二类居住用地,34572,≤86430,17707,重庆市诚投房地产开发有限公司,2016年6月28日,17707,挂牌
沙坪坝区中梁山组团B分区B4-5/05号宗地,二类居住用地,19318,≤53465,13407,重庆市沙坪坝区房地产开发总公司,2016年6月28日,13407,挂牌
九龙坡区西永组团Ab分区Ab21-3/03号宗地,商业用地、商务用地,56491,≤30063(总建筑面积),17111,重庆市粮油批发市场有限责任公司,2016年6月28日,17111,挂牌
沙坪坝区西永组团L标准分区L37-2/04号宗地,二类居住用地,117240,≤234480,32593,重庆西谷资产管理有限公司,2016年6月21日,32593,拍卖
巴南区界石组团T分区T11-3/02号宗地,二类居住用地,45955,≤91910,11076,重庆星界置业有限公司,2016年7月15日,11076,挂牌
巴南区民主工贸园区组团D标准分区D4-1-3/06号宗地,二类居住用地、商业用地,8805,≤23774,4611,重庆市南渝物业管理有限公司,2016年7月15日,4611,挂牌
两江新区悦来组团C分区C05-1/07、C05-3/07、C06-1/06、C09-2/06、C10-3/06、C10-1/06号宗地,二类居住用地、商业用地、商务用地,163573,≤400722,110764,北京北辰实业股份有限公司,2016年7月15日,110764,挂牌
两江新区悦来组团C标准分区C14-1/06、C14-2/07、C18-1/07、C18-6/06号宗地,二类居住用地、商业用地、商务用地,100001,≤250004,68255,北京北辰实业股份有限公司,2016年7月15日,68255,挂牌
两江新区悦来组团C分区C15-2/07、C17-5/04、C18-3/06号宗地,二类居住用地、商业用地、商务用地,165519,≤267291,99338,北京北辰实业股份有限公司,2016年7月15日,99338,挂牌
沙坪坝区西永组团J分区J04-01/04（部分）号宗地,物流仓储用地,38190,≤1.5,2827,重庆铁路口岸物流开发有限责任公司,2016年7月15日,2827,挂牌
巴南区木洞麻柳功能区（麻柳嘴片区部分）控规组团A分区A11-3/01、A11-1-3/02号宗地,二类工业用地,67748,≥0.6,4389,攀钢集团重庆钛业有限公司,2016年7月15日,4389,挂牌
北碚区蔡家组团B标准分区B09-1/02号宗地,二类工业用地,55174,≥0.7,2373,华安钢宝利汽车板加工（重庆）有限公司,2016年7月15日,2373,挂牌
九龙坡区西永a组团A分区Aa-50-16/01号宗地,一类物流仓储用地、二类物流仓储用地,29466,≤1.5,2387,重庆人和物流有限责任公司,2016年7月15日,2387,挂牌
江北区观音桥组团O07-1/02、O07-2/02号宗地,商业用地、商务用地，社会停车场用地,9972,≤13657,9347,重庆市澜凯房地产开发有限公司,2016年7月12日,9600,拍卖
巴南区木洞麻柳组团A分区A11-1-3/02（部分二）宗地,二类工业用地,11786,≥0.6,402,重庆盛清水处理科技有限公司,2016年4月15日,402,挂牌
北部新区礼嘉组团F标准分区F26/03(部分)宗地,一类工业用地,61540,≥0.7,3602,本特勒建安汽车系统（重庆）有限公司,2016年4月15日,3602,挂牌
北部新区礼嘉组团B标准分区B07-3/05号宗地,一类工业用地,30620,≥0.7,1609,重庆快星新能源汽车有限公司,2016年4月15日,1609,挂牌
两江新区龙兴组团A标准分区A5-1/01（部分）号宗地,二类工业用地,42223,≥0.7,1584,重庆博盛达汽车配件有限公司,2016年3月31,1584,挂牌
北部新区礼嘉组团B标准分区B05-2-1/03号宗地,一类工业用地,117333,≥0.7,6162,长安福特汽车有限公司,2016年3月31日,6162,挂牌
巴南区木洞组团C分区C20-1/01宗地,一类工业用地,51953,≥1.0,4315,重庆尚盟宏远实业有限公司,2016年3月31日,4315,挂牌
渝北区王家街道玉峰山村6社地块,加油站用地,1990,934,重庆海晶石油化工有限公司,2016年3月31日,934,挂牌
大渡口区大渡口组团N分区N56-1号宗地,加油站用地,4514,按规划要求,2271,中国石化销售有限公司重庆石油分公司,2016年3月30日,2271,挂牌
两江新区龙兴组团B标准分区B4-1/01（部分二）号宗地,二类工业用地,103519,≥0.7,2609,重庆耐德节能装备有限公司,2016年3月30日,2609,挂牌
两江新区龙兴组团B分区B2-3/02号宗地,二类工业用地,53612,≥0.7,1352,海纳川重庆汽车部件有限公司,2016年3月30日,1352,挂牌
两江新区龙兴组团A标准分区A2-4/01号宗地,二类工业用地,47013,≥0.7,1185,重庆北特科技有限公司,2016年4月27日,1185,挂牌
两江新区两路组团J分区J20-1/04号宗地,一类工业用地,101721,≥1.0,2930,纬创资通（重庆）有限公司,2016年4月27日,2930,挂牌
北部新区礼嘉组团F标准分区F21-2/03号宗地,加油站用地,2535,按规划要求,1908,重庆福堂实业有限公司,2016年4月26日,1908,挂牌
九龙坡区西彭组团D分区D60-2-2/01号(部分一)宗地,一类工业用地,11197,≥0.7,641,重庆克朗斯膜科技有限公司,2016年4月26日,641,挂牌
九龙坡区西彭组团D分区D60-2-2/01号(部分三)宗地,一类工业用地,15857,≥0.7,908,重庆获隆工贸有限公司,2016年4月26日,908,挂牌
九龙坡区西彭组团D分区D60-2-2/01号(部分五)宗地,一类工业用地,7134,≥0.7,409,重庆弘尊工贸有限公司,2016年4月26日,409,挂牌
渝北区两路组团A分区A135-7/03号宗地,供水用地，防护绿地,6984,/,378,重庆中法供水有限公司,2016年4月26日,378,挂牌
沙坪坝区西永组团S标准分区S10-1/01号宗地,二类工业用地,57775,≥1.0,2774,重庆联东金辰实业有限公司,2016年4月26日,2774,挂牌
北碚区蔡家组团E分区E01-1-3/03号宗地,社会车充电站用地,2830,按规划要求,864,重庆移峰能源有限公司,2016年4月15日,864,挂牌
巴南区木洞-麻柳组团C标准分区C13-1/02号宗地,商务用地,10583,≤21166,5415,重庆麻柳沿江开发投资有限公司,2016年4月15日,5415,挂牌
巴南区木洞麻柳组团A分区A5-1/03（部分）宗地,二类工业用地,32497,≥0.6,1106,重庆中凯化工有限公司,2016年6月21日,1106,挂牌
两江新区龙兴组团V标准分区V14-1/01号宗地,二类工业用地,64985,≥0.7,1651,重庆瀚能汽车零部件有限公司,2016年6月21日,1651,挂牌
沙坪坝区西永组团L标准分区L73-9/01、L76-3/01、L77-1/01号宗地,一类居住用地、二类居住用地,165861,≤524776,54634,大连万达商业地产股份有限公司,2016年6月14日,54634,挂牌
沙坪坝区西永组团L标准分区L73-5/01、L76-2/01号宗地,一类居住用地、二类居住用地,133461,≤300092,35523,大连万达商业地产股份有限公司,2016年6月14日,35523,挂牌
沙坪坝区西永组团L标准分区L67-2/02、L72-1/02号宗地,二类居住用地,72982,≤294847,28755,大连万达商业地产股份有限公司,2016年6月14日,28755,挂牌
沙坪坝区西永组团L标准分区L67-1/06号宗地,娱乐康体用地,21394,≤5000,1840,大连万达商业地产股份有限公司,2016年6月14日,1840,挂牌
渝北区唐家沱组团C分区C3-13/02号宗地,一类工业用地,45372,≥0.7,3086,利纳马汽车系统（重庆）有限公司,2016年5月20日,3086,挂牌
九龙坡区大杨石组团D分区D12-2-1/03、D11-2/01号宗地,商业用地、商务用地、二类居住用地,9343,≤39867,15371,重庆业瑞房地产开发有限公司,2016年5月17日,15371,拍卖
两江新区龙兴组团A分区A2-5/01号宗地,二类工业用地,24640,≥0.7,621,重庆厚诚泰克汽车部件有限公司,2016年5月17日,621,挂牌
九龙坡区西永组团Z分区Z23-1/04号(部分四)宗地,二类工业用地,5265,≥0.7,406,重庆豪斯特汽车零部件有限公司,2016年4月27日,406,挂牌
九龙坡区西永组团Y分区Y06-2/01号（部分4）宗地,一类工业用地,24738,≥0.7,1856,重庆瑜欣平瑞电子股份有限公司,2016年3月30日,1856,挂牌
九龙坡区西彭组团D分区D65-1/02号(部分一)宗地,二类工业用地,4488,≥0.7,258,重庆彦辰胶带制品有限公司,2016年3月30日,258,挂牌
九龙坡区西彭组团D分区D65-1/02号(部分二)宗地,二类工业用地,5000,≥0.7,287,重庆西牧金属制品有限公司,2016年3月30日,287,挂牌
九龙坡区西彭组团D分区D65-1/02号(部分三)宗地,二类工业用地,4705,≥0.7,270,重庆雄泰工贸有限公司,2016年3月30日,270,挂牌
九龙坡区西彭组团D分区D65-1/02号(部分四)宗地,二类工业用地,4617,≥0.7,266,重庆铝昊机电配件有限公司,2016年3月30日,266,挂牌
九龙坡区西彭组团D分区D65-1/02号(部分五)宗地,二类工业用地,4514,≥0.7,259,重庆业基机械有限公司,2016年3月30日,259,挂牌
九龙坡区西彭组团D分区D65-1/02号(部分六)宗地,二类工业用地,4515,≥0.7,259,重庆博耕机电配件有限公司,2016年3月30日,259,挂牌
九龙坡区西彭组团D分区D65-1/02号(部分七)宗地,二类工业用地,7312,≥0.7,419,重庆西彭铝产业区开发投资有限公司,2016年3月30日,419,挂牌
九龙坡区西永Q（部分）、S、T（部分）、U（部分）组团,一类工业用地,8396.1,≥1.0,916,瑞娃科技（重庆）有限公司,2016年3月29日,916,挂牌
九龙坡区西永组团F分区F13-3-1/02、F13-3-2/02号宗地,二类居住用地,5348,≤6955,888,重庆骏丰置业有限公司,2016年2月25日,888,挂牌
两江新区龙兴组团B标准分区B9-3/02（部分四）号宗地,二类工业用地,26884,≥0.7,1009,重庆洲泽机械制造有限公司,2016年2月25日,1009,挂牌
两江新区龙兴组团T分区T7-3/01号宗地,二类工业用地,45141,≥0.7,1138,重庆韩华高新材料有限公司,2016年2月25日,1138,挂牌
两江新区龙兴组团T标准分区T7-1/01号宗地,二类工业用地,63389,≥0.7,1611,重庆平和精工汽车部件有限公司,2016年2月25日,1611,挂牌
两江新区水土组团D标准分区D03-2/01、D10/01、D11-1/01号宗地,一类工业用地,217946,≥0.7,5493,力帆集团重庆万光新能源科技有限公司,2016年2月18日,5493,挂牌
南岸区茶园组团P分区P13-1/01（部分一）号宗地,二类工业用地,25371,≥0.7,3366,重庆科端建材有限公司,2016年2月18日,3366,挂牌
沙坪坝区双碑组团B分区B15-1-2/04、B15-3/04号宗地,二类物流仓储用地,15478,≤1.2,1550,重庆市乐邦水产品有限公司,2016年2月5日,1550,挂牌
北部新区翠云组团D标准分区D37/01(部分)、D39-1/02号宗地,二类工业用地,16693,≥0.7,1071,重庆三弓汽车零部件有限公司,2016年2月5日,1071,挂牌
九龙坡区大杨石组团Q分区QF3-6-4/04号宗地,二类居住用地兼容商业用地、商务用地,36388,≤152829,43557,重庆鲁能开发(集团)有限公司,2016年1月20日,44500,拍卖
九龙坡区大杨石组团Q分区QF3-6-1/04（地下）号宗地,商业服务业设施用地、社会停车场用地(地下用地性质),34603,≤100000(总建筑面积),5018,重庆德兴胜大置业有限公司、重庆融和茂科技有限公司,2016年1月20日,5018,挂牌
巴南区李家沱组团V分区V9/03号宗地,文化设施用地,42664,≤93860,15532,重庆恒泉置业有限公司,2016年1月20日,15532,挂牌
沙坪坝区双碑组团E标准分区E35-1/03、E32-1/03、E34/02号宗地,二类居住用地，商业用地，商务用地,42310,≤146576,36644,重庆锦双房地产开发有限公司,2016年2月25日,36644,挂牌
南岸区南坪组团I分区I11-1-4/05号宗地,其它商务用地,23937,≤76598,15206,重庆市江南城市建设资产经营管理有限公司,2016年2月25日,15206,挂牌
两江新区水土组团E标准分区E3-1/01、E3-2/01、E4-1/01、E5-1/01、E6-1/01、E7-1/01、E8-1/01、E10-1/01号宗地,B29-其它商务用地（生产性服务业用地），二类居住、商,272600,≤378101,34606,重庆金科科健置业有限公司,2016年2月25日,34606,挂牌
九龙坡区西永组团Z分区Z23-1/04(部分一)号宗地,二类工业用地,10326,≥0.8,796,重庆群禾纺织有限公司,2016年2月25日,796,挂牌
九龙坡区西永组团Z分区Z23-1/04(部分二)号宗地,二类工业用地,13281,≥0.7,1036,重庆点源机械配件有限公司,2016年2月25日,1036,挂牌
九龙坡区西永组团Z分区Z23-1/04(部分三)号宗地,二类工业用地,18016,≥0.7,1388,重庆豪斯特汽车零部件有限公司,2016年2月25日,1388,挂牌
巴南区鱼洞组团P分区P02-02/03号宗地,二类工业用地,55718,≥0.7,3727,重庆光宇摩托车制造有限公司,2016年2月25日,3727,挂牌
沙坪坝区西永组团Q标准分区Q6-1/02号宗地,二类工业用地,25952,≥0.7,1248,重庆科旭恒睿冠制药机械有限公司,2016年2月25日,1248,挂牌
两江新区两路组团K标准分区K09-1/02(部分二)号宗地,一类工业用地、一类物流仓储用地,100375,≤1.5,7905,重庆嘉磊仓储有限公司,2016年2月25日,7905,挂牌
两江新区龙兴组团B分区B3-1/01、B4-1/01号宗地,二类工业用地,92027,≥0.7,3175,重庆卓通汽车工业有限公司,2016年2月25日,3175,挂牌
沙坪坝区沙坪坝组团I分区I13-4/02号宗地,二类居住用地,9977,≤49885,13868,重庆三特实业有限公司,2016年1月20日,18200,拍卖
沙坪坝区沙坪坝组团B分区B11-2-2/03、B18-1/02号宗地,二类居住用地,56431,≤236659,55698,金融街重庆置业有限公司,2016年1月20日,55698,拍卖
两江新区悦来组团D分区D06/04部分宗地,商业用地,41798.16,≤55288.53（总建筑面积）,15675,重庆悦来投资集团有限公司,2016年1月20日,15675,挂牌
两江新区龙兴组团B分区B8-1/01（部分二）号宗地,二类工业用地,34563,≥0.7,875,重庆爱科思海华汽车配件有限公司,2016年1月20日,875,挂牌
两江新区龙兴组团B分区B9-5/01号宗地,二类工业用地,100299,≥0.7,2528,北汽韩一(重庆)汽车饰件有限公司,2016年1月20日,2528,挂牌
南岸区茶园组团D分区D50-1/03号宗地,一类工业用地,27843,≥0.7,1365,重庆暹众普合实业有限公司,2016年1月20日,1365,挂牌
九龙坡区西彭组团D分区D40-1/01号宗地,一类工业用地,35178,≥0.7,1972,重庆西彭铝产业区开发投资有限公司,2016年1月20日,1972,挂牌
九龙坡区西彭组团L分区L20-01/02号宗地,二类工业用地,49013,≥0.7,4046,重庆建工第二市政工程有限责任公司,2016年1月20日,4046,挂牌
九龙坡区西彭组团L分区L14-5/02地块,二类工业用地,67992,≥0.7,10137,重庆维冠混凝土有限公司,2016年1月20日,10137,挂牌
两江新区鱼嘴组团A分区A01-4/03号宗地,商业用地、商务用地,4168,≤10420,1297,重庆两江新区鱼复工业园建设投资有限公司,2016年1月13日,1297,挂牌
巴南区李家沱组团L分区L8-1/03、L9-1/03、L10-1/03、L11-1/03、L14-1/03号宗地,商业用地、二类居住用地,240008,≤458247,97815,攀钢集团成都地产有限公司,2016年1月4日,97815,挂牌
北碚区静观镇组团J分区JG-D3-2/03号宗地,二类居住用地,15498,≤15873,2081,重庆市地科投资有限责任公司,2016年1月4日,2081,挂牌
两江新区龙兴组团V标准分区V15-1/01号宗地,二类工业用地,52423,≥0.7,1322,重庆世钟汽车配件有限公司,2016年1月4日,1322,挂牌
巴南区李家沱组团H标准分区H18-1/04号宗地,二类居住用地,52728,≤105456,16926,重庆浩丹建设有限公司,2015年12月30日,16926,挂牌
巴南区界石组团T分区T12-7/02号宗地,商业用地、商务用地,30572,≤76430,8637,重庆星界置业有限公司,2015年12月30日,8637,挂牌
大渡口区大渡口组团I分区I12、I13、I19号宗地,二类居住用地、商业用地,53254,≤159777,26093,重庆市诚投房地产开发有限公司,2015年12月30日,26093,挂牌
北部新区两路组团C分区C98-1/02、C98-2/02、C104-1/02、C106-1/02、 C107-1/02、C109-1-2/03、C108-1/03、C110-1/02、C111-1/02号宗地,二类居住用地、商业用地、商务用地、娱乐用地,208370,≤420663,143609,中房地产股份有限公司,2015年12月30日,143609,挂牌
北部新区两路组团C标准分区C90-1-1/03、C101-1/03、C102-1/02、C103-1/03、C105-1/03号宗地,二类居住用地、商业用地、商务用地,172848,≤672107,202600,中房地产股份有限公司,2015年12月30日,202600,挂牌
北部新区两路组团C分区C89-1/01、C94-1/02、C96-1/02、C91-1/02、 C97-1/02、C92-1/02号宗地,二类居住用地、商业用地、商务用地、娱乐用地,137234,≤313878,106747,中房地产股份有限公司,2015年12月30日,106747,挂牌
九龙坡区西永组团Y分区Y06-2/01号（部分2）宗地,一类工业用地,32926,≥0.7,2470,重庆瑜欣平瑞电子股份有限公司,2015年12月30日,2470,挂牌
两江新区鱼嘴组团Q分区Q13-3/01号宗地,商业用地、商务用地,15798,≤12638,4440,重庆两江新区鱼复工业园建设投资有限公司,2016年1月13日,4440,挂牌
两江新区悦来组团D分区D16-1/07号宗地,中小学用地,35486,/,4240,重庆葛洲坝融创深达置业有限公司,2016年1月13日,4240,挂牌
两江新区龙兴组团B分区B12-1/02(部分一)号宗地,二类工业用地,234909,≥0.7,5922,重庆中联重科机械制造有限公司,2016年1月13日,5922,挂牌
两江新区龙兴组团B标准分区B12-1/02(部分二)号宗地,二类工业用地,67197,≥0.7,1695,重庆中联盛弘机械制造有限公司,2016年1月13日,1695,挂牌
两江新区龙兴组团B标准分区B12-1/02(部分三)号宗地,二类工业用地,66645,≥0.7,1681,重庆中科盛弘两江机械制造有限公司,2016年1月13日,1681,挂牌
沙坪坝区西永组团U标准分区U7-12-2/03号宗地,医疗卫生用地,42064,≤63096,6310,重庆海吉亚医院管理有限公司,2016年1月13日,6310,拍卖
巴南区南彭功能区组团A分区A30-1/01、A30-2/01、A30-3/02、A31-3/02、A32-1/01、A32-2/01、A34-1/01号宗地,二类工业用地,121846,≥0.7,4338,重庆宗申实业发展有限公司,2016年1月13日,4338,挂牌
巴南区南彭功能区组团A分区A36-3/01号宗地,二类工业用地,240837,≥1.0,12166,重庆烟叶复烤有限公司,2016年1月13日,12166,挂牌
巴南区南彭功能区组团A分区A27-3/01、A27-2/02号宗地,物流仓储用地,96255,≤1.5,4855,重庆公运东盟国际物流有限公司,2016年1月13日,4855,挂牌
巴南区南彭功能区组团A分区A33-1/01、A33-2/01号宗地,教育科研用地,73151,≤146302,2636,重庆宗申实业发展有限公司,2016年1月13日,2636,挂牌
九龙坡区西永组团Y分区Y06-2/01号（部分3）宗地,一类工业用地,13151,≥0.7,987,重庆长江电器工业有限公司,2015年12月30日,987,挂牌
九龙坡区西永组团Y分区Y08-3/02号（部分1）宗地,一类物流仓储用地,19452,≤1.5,1732,重庆创宝置业有限公司,2015年12月30日,1732,挂牌
九龙坡区西永组团Y分区Y09-1/03号宗地,一类物流仓储用地、二类物流仓储用地,42810,≤1.5,3853,重庆创宝置业有限公司,2015年12月30日,3853,挂牌
大渡口区大渡口组团H分区H15-15-3号宗地,医疗卫生用地,31587,/,4118,重庆市残疾人联合会,2015年12月30日,4118,挂牌
两江新区龙兴组团A标准分区A2-8/01号宗地,二类工业用地,17479,≥0.7,656,重庆顺风汽车零部件有限公司,2015年12月30日,656,挂牌
巴南区李家沱组团IK分区I05-1/01、I05-2/01、I05-3/01、I05-6/01、I05-7/01号宗地,商务用地、商业用地、二类居住用地、体育用地,80524,≤238806,44180,重庆巴和城市建设投资有限公司,2015年12月29日,44180,挂牌
巴南区李家沱鱼洞组团O分区O62-5/01号宗地,二类居住用地、商业用地、商务用地,7005,≤21015,4538,重庆鲁能开发（集团）有限公司,2015年12月29日,4538,挂牌
沙坪坝区西永组团L标准分区L02-1/04、L02-3/04、L02-2/04、L02-4/04、L02-5/04、L02-6/04、L03-1/04、L03-2/04、L03-3/04、L05-2/04号宗地,二类居住用地，商业用地，商务用地,128014,≤388253,57742,重庆西永微电子产业园区开发有限公司,2015年12月29日,57742,挂牌
渝北区两路组团F分区F116-3、F116-4、两路(西部)组团F分区F119-2、F119-3、F119-4、两路组团F分区F122-1、两路(西部)组团F分区F123-1、F138-1、F138-2、F139-2号宗地,商业用地、商务用地，二类居住用地,174406,≤498607,149583,重庆鲁能开发（集团）有限公司,2015年12月29日,149583,挂牌
渝北区两路组团F分区F116-1、F116-2、F117-1、F117-2、F118-1、F118-2、F119-1、F120-1、F120-2、F121-2、F121-1号宗地,商业用地、商务用地，二类居住用地、社会停车场用地,209654,≤608588,183880,重庆鲁能开发（集团）有限公司,2015年12月29日,183880,挂牌
沙坪坝区西永组团L标准分区L04-1/04、L04-2/04、L04-3/04、L04-4/04、L04-5/04、L04-6/04、L04-7/04、L04-8/04、L04-9/04、L07-1/04号宗地,二类居住用地，商业用地，商务用地,120546,≤343034,51783,重庆西永微电子产业园区开发有限公司,2015年12月23日,51783,挂牌
两江新区水土组团E标准分区E37-1/01号宗地,二类居住用地、商业用地、商务用地,127922,≤134318,16119,重庆两江新区置业发展有限公司,2015年12月23日,16119,挂牌
两江新区水土组团E标准分区E1-1/01、E2-1/01、E9-1/01、E11-1/01号宗地,二类居住、商业、商务用地，B29-其它商务用地（生产性,89956,≤134935,13749,重庆两江新区置业发展有限公司,2015年12月23日,13749,挂牌
两江新区水土组团C标准分区C06-1/01、C07-1/01、C11-1/01、C12-1/01号宗地,二类居住用地,139317,≤177308,18778,重庆两江新区置业发展有限公司,2015年12月23日,18778,挂牌
巴南区界石组团S分区S11-4/02号宗地,二类工业用地,78973,≥1.0,3398,圣美精工(重庆)有限公司,2015年12月23日,3398,挂牌
巴南区李家沱组团V分区V12-3/03、V13-2/02号宗地,二类居住用地,88069,≤220173,37308,重庆恒拓置业有限公司,2015年12月21日,37308,挂牌
沙坪坝区西永组团L标准分区L24-3/04、L24-1/04、L24-2/04、L25-1/04、L25-2/04、L25-3/04号宗地,二类居住用地，商业用地，商务用地,79518,≤220784,29886,重庆西永微电子产业园区开发有限公司,2015年12月21日,29886,挂牌
沙坪坝区西永组团L标准分区L36/05、L37-1/05号宗地,二类居住用地,123989,≤247978,34469,重庆西永微电子产业园区开发有限公司,2015年12月21日,34469,挂牌
沙坪坝区西永组团J分区J02-01/04、J02-03/03号宗地,商业用地，商务用地,59762,≤149405,17929,重庆西部现代物流产业园区开发建设有限责任公司,2015年12月21日,17929,挂牌
南岸区茶园组团F分区F42-8-1/01局部地块,二类居住用地,16174,≤29113,5419,重庆聚乾房地产开发有限公司,2015年12月21日,5419,挂牌
大渡口区大渡口组团I分区I25、I30（部分）号宗地,商业用地、二类居住用地,65390,≤180537,29345,重庆诚投房地产开发有限公司,2015年12月25日,29345,挂牌
渝北区人和组团L分区L-19/03号宗地,二类居住用地，商业用地，商务用地,12912,≤71016,19033,重庆市碧桂园房地产开发有限公司,2015年12月25日,34500,拍卖
渝北区两路组团E标准分区E25-1/02号宗地,商业用地、商务用地,20249,≤70872,34019,重庆重之龙商贸有限公司、华成置业有限公司,2015年12月25日,34019,挂牌
九龙坡区西永组团Aa标准分区Aa-50-11/02号宗地,一类物流仓储用地,175690,≤1.5,14934,重庆市上桥粮食中转库有限责任公司,2015年12月25日,14934,挂牌
九龙坡区西彭组团A分区A72-1/03号宗地,一类物流仓储用地,107105,≤1.5,6107,重庆恒宽汽车配件制造有限责任公司,2015年12月25日,6107,挂牌
大渡口区大渡口组团E分区E3-3/05号宗地,体育用地,3510,≤7022,1188,重庆诚投房地产开发有限公司,2015年12月25日,29345,挂牌
沙坪坝区西永组团I标准分区I01-01/04号宗地,物流仓储用地,139740,≤1.5,10481,重庆园投仓储服务有限公司,2015年12月25日,10481,挂牌
两江新区水土组团C标准分区C03-1/01、C04-1/01、C05-1/01号宗地,二类居住用地、商业用地、商务用地,185190,≤326912,35725,重庆两江新区置业发展有限公司,2015年12月24日,35725,挂牌
沙坪坝区西永组团L标准分区L12-1/04、L12-2/04、L12-3/04、L12-4/04、L12-5/04、L12-6/04号宗地,二类居住用地，商业用地，商务用地,64822,≤194460,33449,重庆西永微电子产业园区开发有限公司,2015年12月24日,33449,挂牌
北碚区北碚组团A标准分区A23-1/03号宗地,商业用地、商务用地、娱乐康体用地,52626,≤100516,17000,大连万达商业地产股份有限公司,2015年12月23日,17000,挂牌
沙坪坝区西永组团L标准分区L05-3/04、L07-2/04、L10-3/04、L10-6/04号宗地,商业用地，商务用地，二类居住用地,91307,≤322843,53507,重庆西永微电子产业园区开发有限公司,2015年12月14日,53507,挂牌
沙坪坝区西永组团L标准分区L23-1/04、L23-2/04、L23-3/04、L23-4/04、L23-5/04、L23-6/04号宗地,二类居住用地，商业用地，商务用地,74455,≤189488,29146,重庆西永微电子产业园区开发有限公司,2015年12月14日,29146,挂牌
